Date,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1990-03-01,0.0009000000000000001,0.018000000000000002,0.0011,0.012700000000000001,0.0751,0.0019,0.7315,0.39990000000000003,0.2399,0.0857,0.0637,0.0055000000000000005,0.059800000000000006,0.0008,0.0017000000000000001,0.021,0.0224,0.0059,0.0018000000000000002,0.9670000000000001,0.0753,0.4486,0.0777,0.0044,0.0252,0.0114,0.003,0.4319,0.008400000000000001,0.0056,0.7081000000000001,0.6019,0.0012000000000000001,0.0064,0.3628,0.0014,0.017,0.0004,0.0189,0.7391000000000001,0.0085,0.0012000000000000001,0.012700000000000001,0.0017000000000000001,0.0007,0.44780000000000003,0.3191,0.0021000000000000003,0.0024000000000000002,0.031,0.0029000000000000002
1990-04-01,0.002,0.0001,0.00030000000000000003,0.0088,0.0608,0.0006000000000000001,0.8863000000000001,0.46830000000000005,0.3468,0.1153,0.11510000000000001,0.0009000000000000001,0.0223,0.0006000000000000001,0.0036000000000000003,0.030600000000000002,0.0219,0.0227,0.0014,0.9996,0.20040000000000002,0.8208000000000001,0.0804,0.0019,0.0245,0.009600000000000001,0.001,0.6023000000000001,0.0018000000000000002,0.0006000000000000001,0.9947,0.9890000000000001,0.0001,0.0053,0.5651,0.0005,0.0019,0.0001,0.0648,0.9899,0.0017000000000000001,0.0005,0.016800000000000002,0.0001,0.0,0.5977,0.35150000000000003,0.0,0.0,0.0316,0.0026000000000000003
1990-05-01,0.0049,0.0001,0.0005,0.0175,0.0731,0.0,0.8896000000000001,0.4781,0.3542,0.1365,0.117,0.0021000000000000003,0.0109,0.014700000000000001,0.0009000000000000001,0.0082,0.0199,0.005200000000000001,0.0004,0.9992000000000001,0.3421,0.9052,0.1022,0.0037,0.014,0.0134,0.006200000000000001,0.7604000000000001,0.0024000000000000002,0.0017000000000000001,0.9987,0.9909,0.0005,0.006,0.5769000000000001,0.0005,0.0009000000000000001,0.0005,0.0205,0.9883000000000001,0.0047,0.0007,0.024300000000000002,0.0,0.0012000000000000001,0.6514,0.4184,0.0004,0.0001,0.0211,0.0631
1990-06-01,0.0027,0.001,0.0006000000000000001,0.040600000000000004,0.0993,0.010700000000000001,0.9262,0.4792,0.3845,0.273,0.1463,0.0032,0.0079,0.0115,0.0012000000000000001,0.0009000000000000001,0.0442,0.0064,0.0145,0.9996,0.35150000000000003,0.9329000000000001,0.15610000000000002,0.0011,0.0179,0.058600000000000006,0.0073,0.8575,0.012100000000000001,0.002,0.9985,0.9952000000000001,0.0019,0.0022,0.8838,0.0013000000000000002,0.0004,0.0016,0.021500000000000002,0.9893000000000001,0.027200000000000002,0.0047,0.0682,0.0005,0.0005,0.7726000000000001,0.7513000000000001,0.0001,0.0,0.10940000000000001,0.0391
1990-07-01,0.0221,0.0015,0.0011,0.0274,0.1315,0.0063,0.992,0.5039,0.4127,0.5951000000000001,0.4172,0.0034000000000000002,0.0004,0.0036000000000000003,0.0036000000000000003,0.0073,0.099,0.0012000000000000001,0.0022,0.9999,0.6026,0.9974000000000001,0.2959,0.0001,0.0333,0.049800000000000004,0.0369,0.9366000000000001,0.0097,0.0047,0.9991000000000001,0.9968,0.28650000000000003,0.0021000000000000003,0.9451,0.004,0.0011,0.0031000000000000003,0.029,0.9905,0.1981,0.0002,0.19970000000000002,0.001,0.0006000000000000001,0.8506,0.9127000000000001,0.0,0.0015,0.12940000000000002,0.0217
1990-08-01,0.0379,0.01,0.0027,0.026600000000000002,0.2853,0.0023,0.996,0.499,0.35910000000000003,0.7105,0.5770000000000001,0.0035,0.0027,0.0,0.0076,0.1326,0.007200000000000001,0.0041,0.0007,1.0,0.5805,0.9999,0.6695,0.0008,0.0461,0.3588,0.0397,0.9842000000000001,0.007500000000000001,0.0063,0.9936,0.9985,0.09230000000000001,0.0228,0.9562,0.015000000000000001,0.0051,0.006200000000000001,0.0707,0.9844,0.19260000000000002,0.0112,0.26990000000000003,0.003,0.0001,0.8883000000000001,0.9592,0.0008,0.001,0.1184,0.004
1990-09-01,0.0261,0.0064,0.0061,0.0175,0.30560000000000004,0.0021000000000000003,0.9967,0.5329,0.46040000000000003,0.8235,0.8200000000000001,0.004,0.0018000000000000002,0.0002,0.053200000000000004,0.5488000000000001,0.0073,0.0236,0.0115,0.9997,0.5892000000000001,0.9956,0.8897,0.0021000000000000003,0.18610000000000002,0.0236,0.024900000000000002,0.9852000000000001,0.0085,0.015600000000000001,0.9884000000000001,0.9999,0.0482,0.0264,0.9900000000000001,0.0684,0.0119,0.9654,0.196,0.9697,0.1923,0.0025,0.5898,0.0013000000000000002,0.0,0.9443,0.9962000000000001,0.101,0.0005,0.1134,0.0044
1990-10-01,0.006900000000000001,0.0134,0.0568,0.0193,0.33690000000000003,0.0068000000000000005,0.9999,0.5913,0.6146,0.8946000000000001,0.9689000000000001,0.0009000000000000001,0.010700000000000001,0.006200000000000001,0.0641,0.5742,0.015700000000000002,0.048,0.007500000000000001,1.0,0.9864,0.9918,0.9417000000000001,0.003,0.3769,0.0682,0.003,0.9968,0.0029000000000000002,0.0145,1.0,1.0,0.0134,0.032100000000000004,0.9999,0.5446,0.0723,0.9329000000000001,0.515,0.9907,0.7252000000000001,0.0006000000000000001,0.7445,0.0698,0.0001,0.9974000000000001,0.9953000000000001,0.1353,0.002,0.11710000000000001,0.0016
1990-11-01,0.0034000000000000002,0.0077,0.042,0.0178,0.7527,0.0009000000000000001,0.999,0.5349,0.6658000000000001,0.9556,0.9727,0.002,0.0078000000000000005,0.005200000000000001,0.0454,0.6181,0.0245,0.0688,0.004,1.0,0.9885,0.9927,0.9593,0.0021000000000000003,0.4408,0.126,0.010700000000000001,0.9861000000000001,0.0015,0.00030000000000000003,0.9996,0.9997,0.0044,0.0419,0.9996,0.6025,0.027100000000000003,0.8653000000000001,0.5209,0.9908,0.9381,0.0017000000000000001,0.7392000000000001,0.0821,0.0004,0.9953000000000001,0.992,0.010100000000000001,0.0027,0.1149,0.0002
1990-12-01,0.0134,0.009300000000000001,0.055400000000000005,0.031400000000000004,0.8210000000000001,0.0081,0.9979,0.4496,0.5429,0.9767,0.9912000000000001,0.0115,0.0095,0.0029000000000000002,0.0424,0.5941000000000001,0.2807,0.07680000000000001,0.0106,0.9998,0.9925,0.935,0.9469000000000001,0.0028,0.5449,0.26480000000000004,0.0207,0.9978,0.003,0.0149,0.9994000000000001,0.9998,0.19240000000000002,0.0613,0.9991000000000001,0.6199,0.0158,0.894,0.5249,0.9976,0.9953000000000001,0.0013000000000000002,0.7029000000000001,0.11380000000000001,0.0004,0.9944000000000001,0.9766,0.0031000000000000003,0.005200000000000001,0.0974,0.003
