Date,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
03/01/1990,.0009000000000000001,.018600000000000002,.0095,.013800000000000002,.2822,.0011,.8743000000000001,.8377,.24000000000000002,.12300000000000001,.0476,.0048000000000000004,.084,2e-4,.012700000000000001,.0171,.0487,.0082,.0045000000000000005,.9922000000000001,.0976,.47700000000000004,.1398,.0122,.21480000000000002,.006500000000000001,.0031000000000000003,.4419,.0046,.002,.8340000000000001,.6379,.0009000000000000001,.0025,.6496000000000001,.0032,.0129,0,.4032,.68,.0051,.0011,.0216,7e-4,5e-4,.5109,.23670000000000002,4e-4,.0012000000000000001,.0212,.002
04/01/1990,.0018000000000000002,0,.0047,.0105,.2862,1e-4,.9641000000000001,.8894000000000001,.45330000000000004,.15280000000000002,.1028,.001,.030000000000000002,1e-4,.020300000000000002,.0364,.0455,.033,.0013000000000000002,.9999,.23900000000000002,.8555,.1603,.0073,.22010000000000002,.0061,7e-4,.7106,7e-4,1e-4,.999,.9986,0,.0011,.884,.0022,.0009000000000000001,0,.6574,.9985,2e-4,.0009000000000000001,.029300000000000003,1e-4,0,.6722,.24700000000000003,1e-4,2e-4,.026600000000000002,.0015
05/01/1990,.0097,1e-4,.0013000000000000002,.019200000000000002,.34390000000000004,0,.9586,.9087000000000001,.441,.20900000000000002,.09870000000000001,.002,.0137,.0112,.0162,.011600000000000001,.0448,.0112,.00030000000000000003,.9999,.5154,.9391,.23370000000000002,.0108,.2033,.006200000000000001,.0055000000000000005,.8734000000000001,.0017000000000000001,.001,1,.9981000000000001,2e-4,.0016,.8918,.0049,1e-4,2e-4,.6448,.9996,.001,8e-4,.049,0,.0009000000000000001,.7133,.3009,.0006000000000000001,4e-4,.027600000000000003,.0489
06/01/1990,.0011,.0016,.003,.0502,.44120000000000004,.0099,.9685,.9193,.446,.3704,.11280000000000001,.0022,.0085,.007200000000000001,.023100000000000002,.00030000000000000003,.08030000000000001,.0162,.0227,.9999,.5456,.9577,.3189,.0057,.22360000000000002,.024300000000000002,.0083,.9514,.0064,.0019,.9995,.9986,.0028,.0013000000000000002,.9845,.0108,0,2e-4,.6441,.9988,.0119,.0059,.1396,7e-4,0,.8129000000000001,.8118000000000001,1e-4,.00030000000000000003,.0698,.0285
07/01/1990,.031900000000000005,.0021000000000000003,.007500000000000001,.0313,.5031,.0051,.9978,.935,.438,.758,.3496,.0033,2e-4,.0015,.0521,.0039000000000000003,.1492,.0063,.0026000000000000003,1,.8472000000000001,.9993000000000001,.4934,.0016,.2521,.0275,.050100000000000006,.9854,.0055000000000000005,.0037,1,.9993000000000001,.2066,.0013000000000000002,.9962000000000001,.0287,.0006000000000000001,7e-4,.6464000000000001,.9991000000000001,.24150000000000002,4e-4,.2558,.0011,.00030000000000000003,.876,.9835,1e-4,.0015,.1337,.0154
08/01/1990,.0436,.0183,.028900000000000002,.0318,.8335,.0009000000000000001,.9993000000000001,.9419000000000001,.35860000000000003,.8430000000000001,.5894,.0033,7e-4,0,.11410000000000001,.1155,.0122,.0329,.004,1,.8503000000000001,1,.9196000000000001,.0022,.32,.14120000000000002,.0505,.9991000000000001,.005,.008700000000000001,.9964000000000001,.9992000000000001,.0955,.0298,.9964000000000001,.0835,.0059,8e-4,.7393000000000001,.9974000000000001,.2141,.0257,.28140000000000004,.0043,0,.9083,.9952000000000001,.0009000000000000001,.0026000000000000003,.15560000000000002,.0025
09/01/1990,.029,.0188,.0494,.0251,.8453,5e-4,.9991000000000001,.9536,.5999,.9248000000000001,.866,.003,4e-4,0,.7446,.913,.0099,.20220000000000002,.019,1,.8455,.9987,.9877,.0045000000000000005,.6689,.0184,.032,.997,.005200000000000001,.0164,.9897,1,.0536,.0426,.9994000000000001,.2099,.0211,.9984000000000001,.8370000000000001,.9917,.1499,.006900000000000001,.615,.0046,0,.9597,.9995,.1361,.0024000000000000002,.164,.0018000000000000002
10/01/1990,.0079,.049,.2253,.0269,.8655,.006,1,.9649000000000001,.8944000000000001,.9656,.9882000000000001,5e-4,.0132,.0048000000000000004,.8796,.9425,.0213,.3415,.0182,1,.9984000000000001,.9983000000000001,.9954000000000001,.010400000000000001,.8421000000000001,.0631,.0044,.9999,7e-4,.0166,.9998,1,.0194,.0499,1,.9578000000000001,.217,.9889,.9772000000000001,.9993000000000001,.7408,.0022,.812,.2878,0,.9988,.9996,.17270000000000002,.010100000000000001,.1658,.0012000000000000001
11/01/1990,.0025,.030600000000000002,.2424,.027800000000000002,.9684,7e-4,1,.9629000000000001,.9359000000000001,.9918,.9872000000000001,.0021000000000000003,.014700000000000001,.0037,.8875000000000001,.9673,.0346,.4672,.010100000000000001,1,.9987,.9993000000000001,.998,.0061,.8574,.1524,.0159,.9931000000000001,5e-4,.0015,1,1,.006,.0755,1,.9875,.0761,.8792000000000001,.9790000000000001,.9989,.9666,.0047,.8304,.3516,4e-4,.9987,.9988,.0188,.0158,.15430000000000002,2e-4
12/01/1990,.0173,.0256,.2993,.043300000000000005,.9810000000000001,.0089,.9997,.9576,.7136,.9962000000000001,.9989,.009600000000000001,.0182,.0027,.8838,.9618000000000001,.4612,.5046,.016,1,.9993000000000001,.9862000000000001,.9953000000000001,.0094,.8916000000000001,.2908,.0307,.9993000000000001,.0021000000000000003,.0196,1,.999,.1728,.1187,.9999,.9883000000000001,.032600000000000004,.9705,.9802000000000001,1,.9996,.0076,.8293,.5234,.0015,.999,.993,.0051,.0324,.1227,.0025
